Date,Open,High,Low,Close,Adj Close,Volume
1996-11-01,5.010000,5.040000,4.990000,4.990000,4.990000,0
1996-12-01,5.000000,5.070000,4.770000,5.050000,5.050000,0
1997-01-01,5.050000,5.060000,4.980000,5.010000,5.010000,0
1997-02-01,5.010000,5.080000,4.940000,5.070000,5.070000,0
1997-03-01,5.090000,5.270000,5.030000,5.170000,5.170000,0
1997-04-01,5.180000,5.200000,5.080000,5.100000,5.100000,0
1997-05-01,5.100000,5.270000,4.790000,4.820000,4.820000,0
1997-06-01,4.810000,5.050000,4.780000,5.050000,5.050000,0
1997-07-01,5.110000,5.130000,4.920000,5.100000,5.100000,0
1997-08-01,5.080000,5.190000,5.050000,5.090000,5.090000,0
1997-09-01,5.090000,5.090000,4.730000,4.970000,4.970000,0
1997-10-01,4.960000,5.120000,4.840000,5.060000,5.060000,0
1997-11-01,5.080000,5.200000,5.060000,5.060000,5.060000,0
1997-12-01,5.070000,5.370000,5.000000,5.200000,5.200000,0
1998-01-01,5.200000,5.210000,4.800000,5.040000,5.040000,0
1998-02-01,5.060000,5.200000,4.970000,5.180000,5.180000,0
1998-03-01,5.180000,5.190000,4.930000,4.990000,4.990000,0
1998-04-01,4.990000,5.070000,4.850000,4.850000,4.850000,0
1998-05-01,4.860000,5.100000,4.830000,4.890000,4.890000,0
1998-06-01,4.880000,5.100000,4.840000,4.970000,4.970000,0
1998-07-01,4.960000,5.020000,4.900000,4.950000,4.950000,0
1998-08-01,4.950000,4.980000,4.740000,4.760000,4.760000,0
1998-09-01,4.800000,4.800000,4.230000,4.250000,4.250000,0
1998-10-01,4.230000,4.290000,3.530000,4.210000,4.210000,0
1998-11-01,4.230000,4.580000,4.230000,4.420000,4.420000,0
1998-12-01,4.400000,4.500000,4.290000,4.350000,4.350000,0
1999-01-01,4.350000,4.420000,4.180000,4.360000,4.360000,0
1999-02-01,4.380000,4.550000,4.350000,4.550000,4.550000,0
1999-03-01,4.550000,4.580000,4.350000,4.360000,4.360000,0
1999-04-01,4.370000,4.430000,4.150000,4.430000,4.430000,0
1999-05-01,4.430000,4.570000,4.430000,4.510000,4.510000,0
1999-06-01,4.530000,4.760000,4.390000,4.670000,4.670000,0
