,Date,S&P_Open,S&P_Close,S&P_Volume,PRIME,t_3m_Close,t_10y_Close,cpi_Value,cpi_MoM%,oil_Price,unemp_rate,PE_Ratio,Div_Ratio,EY_Ratio,CS_Index,vo_Open,vo_Close,GF_Open,GF_Close,GF_Volume,Nas_Open,Nas_Close,Nas_Volume,Nk_Open,Nk_Close,Nk_Volume,fx_Price,fx_change%,Close_t-1,return(%),return_class,Close_t+1,return(%)_t+1,return_class_t+1
3557,2008-07-18,1258.22,1260.68,5653280000.0,5.0,1.42,4.081,219.016,-0.1,128.94,5.8,25.37,38.88,3.94,56.4,25.01,24.049999,956.8,957.3,2.0,2286.919922,2282.780029,2225800000.0,12976.219727,12803.700195,113200000.0,1.0057,-0.02,1260.32,0.02856417417799665,0,1260.0,-0.05393914395406159,0
3558,2008-07-17,1246.31,1260.32,7365210000.0,5.0,1.39,4.038,219.016,-0.1,129.43,5.8,25.37,38.88,3.94,56.4,24.58,25.01,957.3,970.0,37.0,2296.570068,2312.300049,2570670000.0,12889.799805,12887.950195,111100000.0,1.0059,0.4,1245.36,1.2012590736815087,1,1260.68,0.02856417417799665,0
3559,2008-07-16,1214.65,1245.36,6738630000.0,5.0,1.345,3.934,219.016,-0.1,134.63,5.8,25.37,38.88,3.94,56.4,28.190001,25.1,960.0,961.8,1.0,2219.27002,2284.850098,2425020000.0,12725.120117,12760.799805,122400000.0,1.0019,0.07,1214.91,2.506358495691024,1,1260.32,1.2012590736815087,1
3560,2008-07-15,1226.83,1214.91,7363640000.0,5.0,1.375,3.844,219.016,-0.1,138.68,5.8,25.37,38.88,3.94,56.4,28.469999,28.540001,983.5,977.7,12.0,2197.179932,2215.709961,2798410000.0,12902.129883,12754.55957,118800000.0,1.0012,-0.53,1228.3,-1.0901245624033113,-1,1245.36,2.506358495691024,1
3561,2008-07-14,1241.61,1228.3,5434860000.0,5.0,1.425,3.88,219.016,-0.1,145.16,5.8,25.37,38.88,3.94,56.4,27.49,28.48,964.7,972.7,55.0,2262.860107,2212.870117,1997990000.0,13022.290039,13010.160156,123800000.0,1.0065,-0.3,1239.49,-0.9027906639020932,-1,1214.91,-1.0901245624033113,-1
3562,2008-07-11,1248.66,1239.49,6742200000.0,5.0,1.57,3.94,219.016,-0.1,144.96,5.8,25.37,38.88,3.94,56.4,25.559999,27.49,948.2,959.5,58.0,2233.379883,2239.080078,2340180000.0,13063.5,13039.69043,146300000.0,1.0095,0.04,1253.39,-1.1089924125770982,-1,1228.3,-0.9027906639020932,-1
3563,2008-07-10,1245.25,1253.39,5840430000.0,5.0,1.63,3.811,219.016,-0.1,141.47,5.8,25.37,38.88,3.94,56.4,25.219999,25.59,928.1,940.9,18.0,2239.949951,2257.850098,2300880000.0,12934.30957,13067.209961,120100000.0,1.0091,-0.21,1244.69,0.6989692212518817,1,1239.49,-1.1089924125770982,-1
3564,2008-07-09,1273.38,1244.69,5181000000.0,5.0,1.79,3.834,219.016,-0.1,135.88,5.8,25.37,38.88,3.94,56.4,23.16,25.23,919.8,927.3,31.0,2290.629883,2234.889893,2285560000.0,13169.889648,13052.129883,122900000.0,1.0112,-0.77,1273.7,-2.2776163931852076,-1,1253.39,0.6989692212518817,1
3565,2008-07-08,1251.84,1273.7,6034110000.0,5.0,1.82,3.88,219.016,-0.1,136.06,5.8,25.37,38.88,3.94,56.4,25.719999,23.15,922.8,921.9,37.0,2244.899902,2294.439941,2462380000.0,13286.5,13033.099609,121800000.0,1.019,0.23,1252.31,1.7080435355463184,1,1244.69,-2.2776163931852076,-1
3566,2008-07-07,1262.9,1252.31,5265420000.0,5.0,1.775,3.93,219.016,-0.1,141.38,5.8,25.37,38.88,3.94,56.4,25.48,25.780001,931.4,927.3,141.0,2263.689941,2243.320068,2363990000.0,13212.799805,13360.040039,107100000.0,1.0167,-0.3,1262.9,-0.8385462031831613,-1,1273.7,1.7080435355463184,1
