year_month,S&P_Open,S&P_Close,Close_t-1,return(%),return_class,Close_t+1,t+1_return_class,t_3m_Close,t_10y_Close,cpi_Value,cpi_MoM%,oil_Price,unemp_rate,PE_Ratio,EY_Ratio,Put/Call_Ratio,Div_Ratio,CS_Index
1994-3,467.19,445.77,467.14,-4.574645716487564,0,450.91,1.0,3.5,6.469739130434783,147.1,0.1,14.680869565217392,6.5,20.42,4.9,1.7343950175028509,25.58,91.5
1994-2,481.6,467.14,481.61,-3.004505720396177,0,445.77,0.0,3.251578947368421,5.949315789473684,146.7,0.3,14.78105263157895,6.6,21.02,4.76,1.7343950175028509,25.58,93.2
1994-1,466.51,481.61,466.45,3.250080394468866,2,467.14,0.0,2.9755,5.70325,146.3,0.3,15.026666666666667,6.6,21.34,4.69,1.7343950175028509,25.58,94.3
1993-12,461.93,466.45,461.79,1.0091166980662136,1,481.61,2.0,3.0527272727272727,5.738545454545455,146.3,0.0,14.514761904761905,6.5,21.29,4.7,1.7343950175028509,25.56,88.2
1993-11,467.83,461.79,467.83,-1.2910672680247022,1,466.45,1.0,3.0989999999999998,5.69805,146.0,0.2,16.60904761904762,6.6,21.63,4.62,1.7343950175028509,25.52,81.2
1993-10,458.93,467.83,458.93,1.9392935741834216,1,461.79,1.0,3.0164999999999997,5.331899999999999,145.6,0.3,18.153333333333332,6.8,22.19,4.51,1.7343950175028509,25.5,82.7
1993-9,463.55,458.93,463.56,-0.9987919578911026,1,467.83,1.0,2.9476190476190474,5.36,145.0,0.4,17.504285714285714,6.7,22.5,4.44,1.7343950175028509,25.56,77.9
1993-8,448.13,463.56,448.13,3.443197286501686,2,458.93,1.0,3.019090909090909,5.677727272727273,144.8,0.1,18.01090909090909,6.8,22.65,4.42,1.7343950175028509,25.62,77.3
1993-7,450.54,448.13,450.53,-0.532705924133793,1,463.56,2.0,3.036190476190476,5.805238095238095,144.5,0.2,17.89,6.9,22.72,4.4,1.7343950175028509,25.69,77.0
1993-6,450.23,450.53,450.19,0.07552366778470757,1,448.13,1.0,3.070909090909091,5.962727272727273,144.3,0.1,19.09409090909091,7.0,23.18,4.31,1.7343950175028509,25.69,81.5
1993-5,440.19,450.19,440.19,2.2717462913741793,1,450.53,1.0,2.9565,6.0355,144.2,0.1,19.9495,7.1,22.83,4.38,1.7343950175028509,25.7,80.3
1993-4,451.67,440.19,451.67,-2.541678659198091,1,450.19,1.0,2.8699999999999997,5.9695238095238095,143.8,0.3,20.2525,7.1,22.53,4.44,1.7343950175028509,25.71,85.6
1993-3,443.38,451.67,443.38,1.8697279985565478,1,440.19,1.0,2.9517391304347824,5.975217391304348,143.3,0.3,20.32217391304348,7.0,22.69,4.41,1.7343950175028509,25.75,85.9
1993-2,438.78,443.38,438.78,1.0483613656046362,1,451.67,1.0,2.928421052631579,6.258947368421053,143.1,0.1,20.086111111111112,7.1,22.55,4.44,1.7343950175028509,25.77,86.6
1993-1,435.7,438.78,435.71,0.7045970943976483,1,443.38,1.0,3.001578947368421,6.6000000000000005,142.8,0.2,19.032,7.3,22.5,4.44,1.7343950175028509,25.8,89.3
1992-12,431.35,435.71,431.35,1.0107801089602308,1,438.78,1.0,3.216818181818182,6.77,142.3,0.4,19.41409090909091,7.4,22.82,4.38,1.7343950175028509,25.86,91.0
1992-11,418.66,431.35,418.68,3.026177510270377,2,435.71,1.0,3.128421052631579,6.873157894736842,142.1,0.1,20.3385,7.4,22.56,4.43,1.7343950175028509,25.85,85.3
1992-10,417.8,418.68,417.8,0.21062709430349338,1,431.35,2.0,2.863809523809524,6.589047619047619,141.7,0.3,21.68590909090909,7.3,22.43,4.46,1.7343950175028509,25.89,73.3
1992-9,414.03,417.8,414.03,0.910562036567408,1,418.68,1.0,2.9095238095238094,6.415238095238095,141.1,0.4,21.881363636363634,7.6,23.2,4.31,1.7343950175028509,25.99,75.6
1992-8,424.19,414.03,424.21,-2.3997548384055083,1,417.8,1.0,3.1271428571428572,6.585714285714286,140.8,0.2,21.33904761904762,7.6,23.6,4.24,1.7343950175028509,26.01,76.1
1992-7,408.2,424.21,408.14,3.937374430342528,2,414.03,1.0,3.208181818181818,6.844545454545455,140.5,0.2,21.77521739130435,7.7,23.88,4.19,1.7343950175028509,26.03,76.6
1992-6,415.35,408.14,415.35,-1.7358853978572377,1,424.21,2.0,3.6563636363636363,7.261818181818182,140.1,0.3,22.384545454545453,7.8,23.95,4.18,1.7343950175028509,26.04,80.4
1992-5,414.95,415.35,414.95,0.09639715628389785,1,408.14,1.0,3.633,7.392,139.7,0.3,20.9755,7.6,24.75,4.04,1.7343950175028509,26.13,79.2
1992-4,403.67,414.95,403.69,2.7892689935346406,1,415.35,1.0,3.7490476190476194,7.480476190476191,139.4,0.2,20.23,7.4,24.73,4.04,1.7343950175028509,26.17,77.2
1992-3,412.68,403.69,412.7,-2.18318391083111,1,414.95,1.0,4.03590909090909,7.542272727272728,139.1,0.2,18.921818181818182,7.4,25.16,3.97,1.7343950175028509,26.21,76.0
1992-2,408.79,412.7,408.78,0.958951025001227,1,403.69,1.0,3.84421052631579,7.337894736842105,138.6,0.4,19.0125,7.4,25.6,3.91,1.7343950175028509,26.26,68.8
1992-1,417.03,408.78,417.09,-1.992375746241819,1,412.7,1.0,3.804761904761905,7.032380952380953,138.3,0.2,18.785454545454545,7.3,25.93,3.86,1.7343950175028509,26.27,67.5
1991-12,375.11,417.09,375.22,11.158786845050889,2,408.78,1.0,4.0738095238095235,7.088571428571429,138.2,0.1,19.49809523809524,7.3,24.33,4.11,1.7343950175028509,26.22,68.2
1991-11,392.46,375.22,392.45,-4.390368199770662,0,417.09,2.0,4.558947368421053,7.417368421052632,137.8,0.3,22.46095238095238,7.0,23.27,4.3,1.7343950175028509,26.29,69.1
1991-10,387.86,392.45,387.86,1.183416696746242,1,375.22,0.0,4.994090909090909,7.527272727272727,137.2,0.4,23.23086956521739,7.0,22.49,4.45,1.7343950175028509,26.42,78.3
1991-9,395.43,387.86,395.43,-1.9143716966340423,1,392.45,1.0,5.215,7.65,137.0,0.1,21.8865,6.9,21.73,4.6,1.7343950175028509,26.51,83.0
1991-8,387.81,395.43,387.81,1.9648797091359183,1,387.86,1.0,5.333181818181818,7.9,136.6,0.3,21.69363636363636,6.9,21.22,4.71,1.7343950175028509,26.53,82.0
1991-7,371.18,387.81,371.16,4.48593598448108,2,395.43,1.0,5.575,8.272727272727273,136.2,0.3,21.40304347826087,6.8,20.14,4.97,1.7343950175028509,26.52,82.9
1991-6,389.81,371.16,389.83,-4.789267116435359,0,387.81,2.0,5.5729999999999995,8.284,136.0,0.1,20.189,6.9,19.49,5.13,1.7343950175028509,26.46,82.1
1991-5,375.35,389.83,375.34,3.860499813502427,2,371.16,0.0,5.460909090909091,8.067727272727273,135.6,0.3,21.23227272727273,6.9,18.98,5.27,1.7343950175028509,26.51,78.3
1991-4,375.22,375.34,375.22,0.03198123767388404,1,389.83,2.0,5.648181818181818,8.039090909090909,135.1,0.4,20.83,6.7,18.58,5.38,1.7343950175028509,26.56,81.8
1991-3,367.07,375.22,367.07,2.2202849592720826,1,375.34,1.0,5.904999999999999,8.11,134.8,0.2,19.9015,6.8,17.78,5.62,1.7343950175028509,26.58,87.7
1991-2,343.91,367.07,343.93,6.728113278864881,2,375.22,1.0,5.944210526315789,7.854736842105264,134.8,0.0,20.4775,6.6,17.19,5.82,1.7343950175028509,26.6,70.4
1991-1,330.2,343.93,330.22,4.151777602810241,2,367.07,2.0,6.222857142857143,8.092857142857142,134.7,0.1,25.23409090909091,6.4,15.35,6.52,1.7343950175028509,26.62,66.8
1990-12,322.23,330.22,322.22,2.482775743280988,1,343.93,2.0,6.7395,8.075,134.2,0.4,27.281,6.3,15.41,6.49,1.7343950175028509,26.76,65.5
1990-11,303.99,322.22,304.0,5.9934210526315885,2,330.22,1.0,7.062,8.392,133.7,0.4,32.33227272727272,6.2,14.68,6.81,1.7343950175028509,26.58,66.0
1990-10,306.1,304.0,306.05,-0.6698251919621013,1,322.22,2.0,7.165909090909091,8.719545454545456,133.4,0.2,36.039565217391306,5.9,14.21,7.04,1.7343950175028509,26.45,63.9
1990-9,322.56,306.05,322.56,-5.118427579365076,0,304.0,1.0,7.35578947368421,8.893157894736841,132.5,0.7,33.5075,5.9,14.51,6.89,1.7343950175028509,26.42,72.8
1990-8,356.15,322.56,356.15,-9.431419345781265,0,306.05,0.0,7.44695652173913,8.752608695652174,131.6,0.7,27.307391304347828,5.7,15.33,6.52,1.7343950175028509,26.51,76.4
1990-7,358.02,356.15,358.02,-0.5223171889838569,1,322.56,0.0,7.62,8.471428571428572,130.5,0.8,18.454090909090908,5.5,16.81,5.95,1.7343950175028509,26.63,88.2
1990-6,361.26,358.02,361.23,-0.8886305124159224,1,356.15,1.0,7.725238095238095,8.48,129.9,0.5,16.695238095238096,5.2,16.95,5.9,1.7343950175028509,26.6,88.3
1990-5,330.8,361.23,330.8,9.198911729141477,2,358.02,1.0,7.743181818181818,8.758181818181818,129.1,0.6,18.199545454545454,5.4,16.37,6.11,1.7343950175028509,26.48,90.6
1990-4,339.94,330.8,339.94,-2.688709772312757,1,361.23,2.0,7.773000000000001,8.7855,128.9,0.2,18.4255,5.4,15.7,6.37,1.7343950175028509,26.28,93.9
1990-3,331.89,339.94,331.89,2.425502425502429,1,330.8,1.0,7.8981818181818175,8.588636363636363,128.6,0.2,20.387727272727275,5.2,15.62,6.4,1.7343950175028509,26.05,91.3
1990-2,329.08,331.89,329.08,0.8538957092500311,1,339.94,1.0,7.741052631578948,8.473157894736843,128.0,0.5,22.113,5.3,14.97,6.68,1.7343950175028509,25.99,89.5
1990-1,353.4,329.08,353.4,-6.881720430107525,0,331.89,1.0,7.642857142857143,8.206666666666667,127.5,0.4,22.86318181818182,5.4,15.13,6.61,1.7343950175028509,25.91,93.0
1989-12,346.01,353.4,345.99,2.141680395387141,1,329.08,0.0,7.626,7.836,126.3,1.0,21.1,5.4,15.24,6.56,1.7343950175028509,25.97,90.5
1989-11,340.36,345.99,340.36,1.6541309202021375,1,353.4,1.0,7.687619047619047,7.8742857142857146,125.9,0.3,19.85590909090909,5.4,14.7,6.8,1.7343950175028509,25.76,90.9
1989-10,349.15,340.36,349.15,-2.5175426034655493,1,345.99,1.0,7.63952380952381,8.007619047619048,125.4,0.4,20.097727272727273,5.3,14.84,6.74,1.7343950175028509,25.57,93.9
1989-9,351.45,349.15,351.45,-0.6544316403471365,1,340.36,1.0,7.7505,8.1905,124.8,0.5,19.591428571428573,5.3,14.66,6.82,1.7343950175028509,25.44,95.8
1989-8,346.08,351.45,346.08,1.5516643550624147,1,349.15,1.0,7.899565217391304,8.112608695652174,124.5,0.2,18.577826086956524,5.2,14.32,6.98,1.7343950175028509,25.23,89.6
1989-7,317.98,346.08,317.98,8.837033775709154,2,351.45,1.0,7.883,8.0185,124.5,0.0,19.781428571428574,5.2,13.43,7.45,1.7343950175028509,24.98,92.0
1989-6,320.51,317.98,320.52,-0.7924622488456147,1,346.08,2.0,8.151363636363637,8.277272727272727,124.1,0.3,20.050454545454546,5.3,12.84,7.79,1.7343950175028509,24.75,90.6
1989-5,309.64,320.52,309.64,3.5137579124144156,2,317.98,1.0,8.433181818181819,8.85909090909091,123.7,0.3,20.123478260869565,5.2,12.49,8.01,1.7343950175028509,24.53,90.7
1989-4,294.87,309.64,294.87,5.008987011225279,2,320.52,2.0,8.647,9.1755,123.1,0.5,21.069,5.2,12.07,8.29,1.7343950175028509,24.38,91.5
1989-3,288.86,294.87,288.86,2.0805926746520775,1,309.64,2.0,8.815454545454545,9.357727272727272,122.2,0.7,19.48409090909091,5.0,11.73,8.53,1.7343950175028509,24.25,94.3
1989-2,297.47,288.86,297.47,-2.8944095202877644,1,294.87,1.0,8.530526315789475,9.168947368421053,121.6,0.5,17.936500000000002,5.2,11.97,8.35,1.7343950175028509,24.18,95.4
1989-1,277.72,297.47,277.72,7.111479187671035,2,288.86,1.0,8.266,9.0915,121.2,0.3,18.024285714285714,5.4,11.82,8.46,1.7343950175028509,24.07,97.9
1988-12,273.68,277.72,273.7,1.4687614176105366,1,297.47,2.0,8.067142857142857,9.105714285714285,120.7,0.4,16.382380952380952,5.3,11.64,8.59,1.7343950175028509,23.97,91.9
1988-11,278.97,273.7,278.97,-1.8890920170627803,1,277.72,1.0,7.76,8.9625,120.3,0.3,14.141363636363637,5.3,11.57,8.64,1.7343950175028509,23.74,93.0
1988-10,271.89,278.97,271.91,2.5964473539038657,1,273.7,1.0,7.3485,8.7955,119.9,0.3,13.770476190476192,5.4,12.02,8.32,1.7343950175028509,23.54,94.1
1988-9,261.52,271.91,261.52,3.9729275007647766,2,278.97,1.0,7.23952380952381,8.977142857142857,119.5,0.3,14.535454545454543,5.4,11.79,8.48,1.7343950175028509,23.4,97.3
1988-8,272.03,261.52,272.02,-3.8600102933607827,0,271.91,2.0,7.062608695652174,9.260434782608696,119.0,0.4,15.523478260869567,5.6,11.78,8.49,1.7343950175028509,23.36,97.4
1988-7,273.5,272.02,273.5,-0.5411334552102443,1,261.52,0.0,6.7284999999999995,9.056000000000001,118.5,0.4,15.497499999999999,5.4,12.22,8.18,1.7343950175028509,23.27,93.4
1988-6,262.16,273.5,262.16,4.325602685382962,2,272.02,1.0,6.459545454545454,8.921363636363637,118.0,0.4,16.527727272727272,5.4,12.49,8.01,1.7343950175028509,23.17,94.7
1988-5,261.36,262.16,261.33,0.3176060919144534,1,273.5,2.0,6.257142857142857,9.08904761904762,117.5,0.4,17.423636363636362,5.6,12.41,8.06,1.7343950175028509,23.04,94.8
1988-4,258.89,261.33,258.89,0.942485225385298,1,262.16,1.0,5.907,8.7185,117.2,0.3,17.8625,5.4,13.39,7.47,1.7343950175028509,22.88,91.2
1988-3,267.82,258.89,267.82,-3.3343290269584074,0,261.33,1.0,5.70304347826087,8.373478260869565,116.5,0.6,16.197391304347825,5.7,14.29,7.0,1.7343950175028509,22.76,94.6
1988-2,257.05,267.82,257.07,4.1817403819971215,2,258.89,0.0,5.6605,8.212,116.2,0.3,16.795714285714286,5.7,14.16,7.06,1.7343950175028509,22.74,91.6
1988-1,247.1,257.07,247.08,4.043224866440012,2,267.82,2.0,5.813684210526316,8.66578947368421,116.0,0.2,17.1295,5.7,14.02,7.13,1.7343950175028509,22.68,90.8
1987-12,230.32,247.08,230.3,7.286148501953973,2,257.07,2.0,5.767727272727273,8.987727272727271,115.6,0.3,17.274545454545457,5.7,13.77,7.26,1.7343950175028509,22.62,86.8
1987-11,251.73,230.3,251.79,-8.534890186266326,0,247.08,2.0,5.6947368421052635,8.860526315789473,115.4,0.2,18.854,5.8,14.45,6.92,1.7343950175028509,22.49,83.1
1987-10,321.83,251.79,321.83,-21.763042600130504,0,230.3,0.0,6.133333333333334,9.520000000000001,115.0,0.3,19.85909090909091,6.0,17.08,5.86,1.7343950175028509,22.38,89.3
