year_month,S&P_Open,S&P_Close,S&P_Volume,Close_t-1,return(%),return_class,Close_t+1,t+1_return(%),t+1_return_class,t_3m_Close,t_10y_Close,cpi_Value,cpi_MoM%,oil_Price,unemp_rate,PE_Ratio,EY_Ratio,Put/Call_Ratio,R_Open,R_Close,R_Volume,G_Open,G_Close,G_Volume,GF_Open,GF_Close,GF_Volume,Nas_Open,Nas_Close,Nas_Volume,Nk_Open,Nk_Close,Nk_Volume,fx_Price,fx_change%,vo_Open,vo_Close,Div_Ratio,CS_Index
1995-5,514.76,533.4,7555690000.0,514.71,3.6311709506323835,2,544.75,2.1278590176228014,2.0,5.7,7.072,152.1,0.2,19.741818181818182,5.6,15.5,6.45,1.7343864229768438,266.200012,270.25,7560450000.0,277.0,277.0,332.0,277.0,273.6,4291.0,844.719971,864.580017,8133750000,16820.380859,15436.790039,0,1.37,1.03,11.21,12.85,25.88,89.8
1995-4,500.7,514.71,6307030000.0,500.71,2.7960296379141734,2,533.4,3.6311709506323835,2.0,5.75,7.214,151.8,0.2,19.896315789473682,5.8,15.31,6.53,1.7343864229768438,260.600006,266.170013,6310910000.0,277.0,277.0,332.0,277.0,273.6,4291.0,816.059998,843.97998,6910700000,16079.639648,16806.75,0,1.356,-3.14,12.52,11.75,25.81,92.5
1995-3,487.39,500.71,7792400000.0,487.39,2.732924352161512,2,514.71,2.7960296379141734,2.0,5.75,7.214,151.2,0.4,18.539130434782606,5.4,15.15,6.6,1.7343864229768438,256.570007,260.769989,7835090000.0,277.0,277.0,332.0,277.0,273.6,4291.0,794.330017,817.210022,7600900000,17017.910156,16139.950195,0,1.4,0.74,11.49,13.37,25.77,90.3
1995-2,470.42,487.39,6330100000.0,470.42,3.607414650737632,2,500.71,2.732924352161512,2.0,5.88,7.638,150.9,0.2,18.57,5.4,15.11,6.62,1.7343864229768438,246.850006,256.570007,6336530000.0,277.0,277.0,332.0,277.0,273.6,4291.0,756.679993,793.72998,6206060000,18646.919922,17053.429688,0,1.3897,-1.24,11.74,11.75,25.86,95.1
1995-1,459.21,470.42,6852060000.0,459.27,2.4277658022514066,2,487.39,3.607414650737632,2.0,5.55,7.911,150.5,0.3,18.039523809523807,5.6,14.89,6.72,1.7343864229768438,250.360001,246.850006,6859170000.0,277.0,277.0,332.0,277.0,273.6,4291.0,751.309998,755.200012,6429730000,19724.759766,18649.820313,0,1.4072,0.38,14.09,11.96,25.96,97.6
1994-12,453.55,459.27,6351530000.0,453.69,1.2299146994643886,1,470.42,2.4277658022514066,2.0,5.55,7.911,150.1,0.3,17.15952380952381,5.5,14.88,6.72,1.7343864229768438,244.25,250.360001,6353990000.0,277.0,277.0,332.0,277.0,273.6,4291.0,748.830017,751.960022,6169730000,19061.210938,19723.060547,0,1.4019,1.88,15.49,13.2,26.07,95.1
1994-11,472.26,453.69,6251240000.0,472.35,-3.9504604636392555,0,459.27,1.2299146994643886,1.0,5.08,7.893,149.8,0.2,18.069499999999998,5.6,15.62,6.4,1.7343864229768438,255.020004,244.25,6263410000.0,277.0,277.0,332.0,277.0,273.6,4291.0,776.25,750.320007,6188120000,19929.490234,19075.619141,0,1.376,1.68,14.61,15.95,25.9,91.6
1994-10,462.69,472.35,6344700000.0,462.71,2.083378357934785,2,453.69,-3.9504604636392555,0.0,4.54,7.174,149.4,0.3,17.716190476190476,5.8,16.32,6.13,1.7343864229768438,256.119995,255.020004,6350900000.0,277.0,277.0,332.0,277.0,273.6,4291.0,764.469971,777.48999,6625590000,19579.720703,19989.599609,0,1.3533,0.8,15.69,14.56,25.77,92.7
1994-9,475.49,462.71,6152870000.0,475.49,-2.687753685671629,0,472.35,2.083378357934785,2.0,4.54,7.174,149.3,0.1,17.445714285714285,5.9,17.09,5.85,1.7343864229768438,257.320007,256.119995,6157520000.0,277.0,277.0,332.0,277.0,273.6,4291.0,763.0,764.289978,5964610000,20634.330078,19563.810547,0,1.3425,-1.78,12.17,14.28,25.63,91.5
1994-8,458.28,475.49,6398750000.0,458.26,3.759874307161877,2,462.71,-2.687753685671629,0.0,4.28,7.113,149.0,0.2,18.383478260869566,6.0,17.44,5.73,1.7343864229768438,241.779999,257.320007,6405540000.0,277.0,277.0,332.0,277.0,273.6,4291.0,722.840027,765.619995,6695930000,20422.179688,20628.529297,0,1.3668,-1.38,11.71,11.97,25.64,91.7
1994-7,444.27,458.26,4980100000.0,444.27,3.148985976995973,2,475.49,3.759874307161877,2.0,4.19,7.32,148.4,0.4,19.654500000000002,6.1,17.42,5.74,1.7343864229768438,240.300003,244.059998,4978990000.0,277.0,277.0,332.0,277.0,273.6,4291.0,706.289978,722.159973,5335860000,20618.220703,20449.390625,0,1.3859,0.17,14.89,11.13,25.68,89.0
1994-6,456.5,444.27,5852670000.0,456.5,-2.679079956188394,0,458.26,3.148985976995973,2.0,4.18,7.107,147.9,0.3,19.06,6.1,18.05,5.54,1.7343864229768438,249.279999,240.289993,5849830000.0,277.0,277.0,332.0,277.0,273.6,4291.0,733.179993,705.960022,6016150000,20988.900391,20643.929688,0,1.3835,0.04,13.16,14.97,25.69,91.2
1994-5,450.91,456.5,5675970000.0,450.91,1.239715242509586,1,444.27,-2.679079956188394,0.0,3.49,6.28,147.5,0.3,17.88904761904762,6.1,18.5,5.4,1.7343864229768438,252.550003,249.279999,5677520000.0,277.0,277.0,332.0,277.0,273.6,4291.0,733.969971,735.190002,5743170000,19648.529297,20973.589844,0,1.383,0.07,14.42,13.03,25.7,92.8
1994-4,445.66,450.91,5735010000.0,445.77,1.1530609955806903,1,456.5,1.239715242509586,1.0,3.49,6.28,147.2,0.2,16.419999999999998,6.4,19.0,5.26,1.7343864229768438,251.059998,252.550003,5734030000.0,277.0,277.0,332.0,277.0,273.6,4291.0,723.059998,733.840027,5623380000,19161.630859,19725.25,0,1.3821,-0.09,23.610001,13.77,25.63,92.6
1994-3,467.19,445.77,7225010000.0,467.14,-4.574645716487564,0,450.91,1.1530609955806903,1.0,3.49,6.28,147.1,0.1,14.680869565217392,6.5,20.42,4.9,1.7343864229768438,265.529999,251.059998,7249580000.0,277.0,277.0,332.0,277.0,273.6,4291.0,792.099976,743.460022,7321980000,20052.609375,19111.919922,0,1.3834,2.47,12.58,20.450001,25.58,91.5
1994-2,481.6,467.14,5853100000.0,481.61,-3.004505720396177,0,445.77,-4.574645716487564,0.0,3.03,5.715,146.7,0.3,14.78105263157895,6.6,21.02,4.76,1.7343864229768438,266.519989,265.529999,5852020000.0,277.0,277.0,332.0,277.0,273.6,4291.0,798.419983,792.5,5993960000,20256.330078,19997.199219,0,1.35,1.56,10.81,14.87,25.58,93.2
1994-1,466.51,481.61,6627390000.0,466.45,3.250080394468866,2,467.14,-3.004505720396177,0.0,3.11,5.783,146.3,0.3,15.026666666666667,6.6,21.34,4.69,1.7343864229768438,258.579987,266.519989,6630060000.0,277.0,277.0,332.0,277.0,273.6,4291.0,774.109985,800.469971,6683340000,17421.640625,20229.119141,0,1.3293,0.58,11.28,10.63,25.58,94.3
1993-12,461.93,466.45,5791210000.0,461.79,1.0091166980662136,1,481.61,3.250080394468866,2.0,3.11,5.783,146.3,0.0,14.514761904761905,6.5,21.29,4.7,1.7343864229768438,250.410004,258.589996,5791630000.0,277.0,277.0,332.0,277.0,273.6,4291.0,759.900024,776.799988,6225130000,16449.939453,17417.240234,0,1.3217,-1.09,12.93,11.66,25.56,88.2
1993-11,467.83,461.79,5876610000.0,467.83,-1.2910672680247022,1,466.45,1.0091166980662136,1.0,3.06,5.56,146.0,0.2,16.60904761904762,6.6,21.63,4.62,1.7343864229768438,259.179993,250.410004,5887230000.0,277.0,277.0,332.0,277.0,273.6,4291.0,780.369995,754.390015,6246880000,19656.970703,16406.539063,0,1.3363,1.2,12.02,13.76,25.52,81.2
1993-10,458.93,467.83,5940460000.0,458.93,1.9392935741834216,1,461.79,-1.2910672680247022,1.0,2.92,5.34,145.6,0.3,18.153333333333332,6.8,22.19,4.51,1.7343864229768438,252.949997,259.179993,5941070000.0,277.0,277.0,332.0,277.0,273.6,4291.0,761.619995,779.26001,6700790000,20096.609375,19702.970703,0,1.3205,-1.03,12.56,11.46,25.5,82.7
1993-9,463.55,458.93,5552720000.0,463.56,-0.9987919578911026,1,467.83,1.9392935741834216,1.0,3.01,5.46,145.0,0.4,17.504285714285714,6.7,22.5,4.44,1.7343864229768438,246.190002,252.949997,5532330000.0,277.0,277.0,332.0,277.0,273.6,4291.0,743.650024,762.780029,5776680000,20964.099609,20105.710938,0,1.3342,1.14,11.3,12.99,25.56,77.9
